Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Algeria,95.8,96.2,96.6,97,97.3,97.6,97.9,98.2,98.5,98.8
Angola,41.1,43.6,45.1,46.6,48.2,49.7,51.2,52.7,54.2,55.7
Benin,34.4,37.4,36.2,34.9,33.7,32.4,31.2,30,28.7,27.5
Burkina Faso,16.2,16.8,17.4,18,,,,,,
Burundi,3.67,3.83,3.99,4.15,4.3,4.46,4.62,4.78,4.94,5.1
Cameroon,42.4,45.6,46.4,47.2,48,48.8,49.6,50.4,51.2,52
Cape Verde,87,87,87,87,87,87,87,,,
Central African Republic CAR,6.75,11,15.2,19.4,23.7,27.9,32.1,36.4,40.6,44.8
Chad,6.17,6.47,6.78,7.08,7.39,7.69,22.9,38,53.2,68.4
Comoros,53.5,56.6,59.7,62.8,65.9,69.1,,,,
Congo Democratic Republic,14.1,14.4,14.7,15,26.6,38.3,49.9,61.6,73.3,82.1
Cote d'Ivoire,42.4,43.2,44.1,44.9,45.8,,,,,
Djibouti,,,,,,,,,,
Egypt,95.6,96.1,96.6,97,97.5,97.9,98.4,98.9,,
Eritrea,,,,,,,,,,
Eswatini,42.9,45.9,48.9,51.9,54.9,57.9,60.9,63.9,,
Ethiopia,9.46,10.4,11.1,11.7,12.4,13.1,13.8,14.5,15.2,15.8
Gabon,77.9,80.7,83.6,86.4,89.2,92.1,,,,
Gambia,44.5,45.8,47.2,48.6,55.7,62.7,69.8,76.8,83.9,89.2
Ghana,49.3,52.5,55.9,59.4,62.8,65.8,68.9,72,75,78.1
Guinea,21.7,23.7,25.8,26.7,27.6,28.6,29.5,30.4,31.3,32.2
Guinea Bissau,19.4,20.7,22,23.2,24.5,31.9,39.3,46.8,54.2,61.6
Kenya,30.3,31.3,32.4,33.4,34.5,35.6,36.6,37.7,,
Lesotho,19.1,21.2,23.4,25.5,27.7,37.8,48,58.1,68.2,78.3
Liberia,10.6,11.7,12.9,14.1,15.3,16.5,17.7,,,
Madagascar,19.7,23.7,27.6,31.5,35.4,39.3,43.2,47.1,51,54.9
Malawi,10.8,10.9,11.1,11.2,11.4,11.5,11.7,11.8,12,12.2
Mali,27.1,28.3,29.5,30.7,33.1,35.5,37.9,40.2,42.6,45
Mauritania,33.9,35.3,36.7,38.1,39.5,,,,,
Mauritius,97,97,97,97,97,97,97,,,
Morocco,84.2,86.7,89.2,91.7,94.3,96.1,98,99.9,,
Mozambique,17.4,18.6,19.9,21.2,22.4,,,,,
Namibia,40.8,41.7,42.6,43.6,44.5,45.5,46.4,,,
Niger,9.71,10.6,11.5,12.3,13.2,14.1,,,,
Nigeria,42.7,44.4,46.1,47.8,48,48.3,48.5,48.8,49.1,49.3
Rwanda,5.26,6.13,7,7.87,8.74,9.61,10.5,11.4,12.2,
Sao Tome & Principe,53.2,57,60.8,64.5,68.3,71.9,75.5,79.1,82.7,86.3
Senegal,49.9,51.8,52.8,54.6,56.4,55.5,55.5,56.7,60.6,62.4
Sierra Leone,11.5,12.2,12.9,13.6,29.6,45.6,61.6,77.6,49,20.5
Somalia,16.2,18.5,20.7,23,25.3,,,,,
South Africa,73.7,75,75.4,75.7,76.1,76.5,76.8,77.2,77.5,77.9
South Sudan,3.84,4.72,5.59,6.47,,,,,,
Sudan,34.1,35.6,37,38.4,39.9,41.3,42.7,44.2,,
Tanzania,13.1,14.6,16,17.4,18.8,20.2,21.6,23,24.4,
Togo,30.4,31.9,33.5,35.1,36.6,48.2,59.7,71.2,80.8,90.3
Tunisia,96.1,96.3,96.5,96.7,96.8,97,97.2,97.4,97.6,97.7
Uganda,11.1,12.4,13.3,14.2,15.1,16,16.9,17.8,18.7,19.6
Zambia,29.8,31.6,33.4,35.1,36.9,36.9,36.8,36.7,36.6,36.6
Zimbabwe,35.2,36.3,36.6,36.8,37.1,37.4,43.9,50.4,56.9,63.4
Average,36.40340426,37.94361702,39.2693617,40.56319149,43.87622222,47.4697561,49.75578947,51.81411765,51.17724138,55.76666667
